时间戳,物理块,磨损圈数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
22:38:00,Block 141,1480 圈,4296.5,3384.4,4.49,4.84,1405,衰退 🟡
22:40:56,Block 140,1500 圈,4296.3,3384.4,4.49,4.84,1263,衰退 🟡
22:40:56,Block 141,1500 圈,4296.3,3384.4,4.49,4.84,1439,衰退 🟡
22:43:53,Block 140,1520 圈,4296.4,3384.4,4.49,4.84,1278,衰退 🟡
22:43:53,Block 141,1520 圈,4296.4,3384.4,4.49,4.84,1359,衰退 🟡
22:46:49,Block 140,1540 圈,4296.4,3384.4,4.49,4.84,1270,衰退 🟡
22:46:49,Block 141,1540 圈,4296.4,3384.4,4.49,4.84,1406,衰退 🟡
22:49:45,Block 140,1560 圈,4296.4,3384.4,4.49,4.84,1273,衰退 🟡
22:49:45,Block 141,1560 圈,4296.4,3384.4,4.49,4.84,1360,衰退 🟡
22:52:42,Block 140,1580 圈,4296.6,3384.4,4.49,4.84,1261,衰退 🟡
22:52:42,Block 141,1580 圈,4296.6,3384.4,4.49,4.84,1400,衰退 🟡
22:55:38,Block 140,1600 圈,4296.3,3384.4,4.49,4.84,1290,衰退 🟡
22:55:38,Block 141,1600 圈,4296.3,3384.4,4.49,4.84,1400,衰退 🟡
22:58:34,Block 140,1620 圈,4296.3,3384.4,4.49,4.84,1307,衰退 🟡
22:58:34,Block 141,1620 圈,4296.3,3384.4,4.49,4.84,1429,衰退 🟡
23:01:31,Block 140,1640 圈,4296.5,3384.4,4.49,4.84,1285,衰退 🟡
23:01:31,Block 141,1640 圈,4296.5,3384.4,4.49,4.84,1422,衰退 🟡
23:04:27,Block 140,1660 圈,4296.4,3384.4,4.49,4.84,1242,衰退 🟡
23:04:27,Block 141,1660 圈,4296.4,3384.4,4.49,4.84,1376,衰退 🟡
23:07:24,Block 140,1680 圈,4296.3,3384.4,4.49,4.84,1272,衰退 🟡
23:07:24,Block 141,1680 圈,4296.3,3384.4,4.49,4.84,1424,衰退 🟡
23:10:20,Block 140,1700 圈,4296.3,3384.4,4.49,4.84,1273,衰退 🟡
23:10:20,Block 141,1700 圈,4296.3,3384.4,4.49,4.84,1407,衰退 🟡
23:13:16,Block 140,1720 圈,4296.3,3384.4,4.49,4.84,1284,衰退 🟡
23:13:16,Block 141,1720 圈,4296.3,3384.4,4.49,4.84,1417,衰退 🟡
23:16:13,Block 140,1740 圈,4296.5,3384.4,4.49,4.84,1232,衰退 🟡
23:16:13,Block 141,1740 圈,4296.5,3384.4,4.49,4.84,1401,衰退 🟡
23:19:09,Block 140,1760 圈,4296.4,3384.4,4.49,4.84,1267,衰退 🟡
23:19:09,Block 141,1760 圈,4296.4,3384.4,4.49,4.84,1423,衰退 🟡
23:22:05,Block 140,1780 圈,4296.2,3384.4,4.49,4.84,1269,衰退 🟡
